timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
1.0,500,50,5,10,0.8812149161616558,807.0491841502285,794.8462835369177,0.00010788791732656908,0.896668379282529,370.75514099436026,0.453446991556149
1.0,443,50,0,5,0.9366986760967987,996.0701147506162,952.1394395463192,8.884695281126169e-05,0.4412925788434235,450.1943938242471,0.4498444860253712
1.0,411,50,0,1,0.8439335079437513,2165.796362080747,2084.550343506177,7.821560148853497e-05,1.1066972817274483,511.40692187687506,0.44919830353836415
2.14,100,50,0,5,0.8502976271839211,2329.260642885886,2231.478661965761,0.0001422310794382852,1.0453098768746993,562.4874706988279,0.45128708843584614
1.0,100,50,0,6,0.8279028286508308,2455.852217765336,2295.8515334257654,6.770672285171725e-05,1.2182518323079472,590.7360240071799,0.44871015876412224
1.0,100,50,4,1,0.785171566970745,3874.6212121212147,3694.284954811273,0.00013353809174066904,1.466063515819476,599.08,0.44928890966148083
3.0,100,210,2,7,0.833356112602597,4087.776378092218,3890.8824456347966,0.0,1.067195805054991,615.4334449586488,0.4517387356784461
2.58,100,500,0,1,0.7697859293772195,3964.021200299063,3769.957236332933,0.00013280295482497354,1.5836476778515276,602.4082835313412,0.45385124943399247
1.0,184,500,2,5,0.7701694093867075,3526.130715216896,3366.849789149986,6.947724557814254e-05,1.608739753602954,575.7280627225089,0.45084417201802285
2.1,500,271,0,1,0.7734394980783083,2417.024574785195,2306.9767409989995,0.0001427265076555636,1.654731851832083,560.5125586976521,0.4495111844038867
3.0,100,392,0,8,0.7576945626281512,2278.7504262320035,2190.424718192775,0.0,1.7894709941606315,528.4330050797969,0.4518204325462016
1.33,100,500,0,3,0.7624010540173961,2019.7896172514234,1967.195382462432,0.00017539132995773215,1.7675412852104542,456.1137676489541,0.45110934147855963
2.28,100,50,0,7,0.8516068960151735,952.4649859943961,931.6978627067249,0.0003084832904884319,1.123722437007598,389.0,0.4503856041131105
2.3,100,500,0,7,0.852009091748061,754.8467428621665,746.9965866043824,0.0002494992450703029,1.1333668232098189,320.63584016639334,0.44960082815326713
2.41,459,62,0,10,0.8599305614757007,796.2580645161268,789.8146943503809,0.0002564102564102564,1.0671735957193573,312.0,0.4511538461538461
2.97,100,316,0,3,0.8030567805886853,809.7835497835504,797.6646686646693,0.0,1.52196414800891,379.16,0.450785947884798
1.0,370,191,0,1,0.7856289318393337,1326.4084507042105,1287.5713860275937,8.858965272856131e-05,1.6276587047554798,451.52,0.44879518072289154
3.0,100,468,0,1,0.843913800333794,2207.246153846152,2126.656393638764,7.748934521503293e-05,1.10407120038972,516.2,0.4475784579620302
1.0,100,500,4,7,0.7644454962920306,2370.728226709314,2277.0198679844584,0.00021462312226658409,1.7290818469294296,559.1047180225582,0.4457002985597519
1.0,414,50,0,4,0.7807380260255593,2450.246111373028,2305.4472233141,6.816532793597674e-05,1.5954363499834157,586.8085903961233,0.4513975975492258
1.0,100,337,5,3,0.7915896912702427,3175.2369668246374,2980.8922255892453,0.00012949174490126252,1.461819179934459,617.8000000000001,0.4502427970216898
2.02,277,50,5,1,0.8072074378705246,3930.1104972375615,3723.83973311796,6.432109088570143e-05,1.2870801805088476,621.88,0.4503119572907956
1.0,100,500,0,1,0.7941800988321983,3933.686440677981,3725.1986563477367,0.00013293452974410101,1.3909971703820685,601.8000000000001,0.44918577600531734
1.64,125,272,5,10,0.8095059496037739,3604.491079264286,3428.6133433325813,0.00027530950141398087,1.2889649700804193,581.1757292583407,0.44772519198841365
1.0,254,416,3,1,0.8281815631637034,2393.7343749999977,2263.8124999999977,7.147451933385748e-05,1.2191529831517054,559.64,0.44964620112929743
1.0,100,50,0,1,0.8185783239136608,2284.2218543046347,2194.736560186988,7.707129094412332e-05,1.3019206522924374,519.0,0.4516377649325626
1.0,100,50,0,1,0.7822696516191601,1793.8557935349127,1730.5548298526242,0.0,1.6243624329338018,459.9534322627095,0.45108276091509103
1.0,350,50,0,1,0.8388830825381518,923.2430739486695,902.7221563182903,0.00010454648049160123,1.2278607390582374,382.6049409976399,0.4498693143901696
1.0,225,50,5,1,0.8887180650894106,469.16702184129394,461.7419310209519,0.0002463151570174088,0.8587325505419385,324.8001507367683,0.45332512998631475
1.73,500,50,1,5,0.8703749557752487,423.40646593199256,416.54227044392655,0.0,1.0090020625854792,324.7198595330558,0.45208173334815066
3.0,500,50,0,10,0.8250727305152156,929.5913314469251,919.7375685478131,0.00011020642649770682,1.3375534463587886,362.9552401903924,0.4512893920475993
1.0,100,50,3,1,0.8313751248209018,1625.5284519978568,1588.2999990412172,0.00017703348287819988,1.2415173194323936,451.87384232299814,0.44985405501728865
2.25,100,50,0,10,0.7899498322321309,2240.020661157022,2157.2914170430195,0.0,1.5338242728696185,521.2991480340787,0.4508555206015499
1.0,375,500,0,1,0.7969688241225279,2370.9697188175905,2271.7903123427704,0.0001415728746372195,1.4692075935651572,565.08,0.44928151766121605
1.0,264,276,3,1,0.7884852695709966,2492.433501029207,2331.3444408466794,0.00017039661735598872,1.5309844521347855,588.2161100888071,0.4497401707882337
1.0,146,50,0,4,0.794706432618642,4081.5924055667856,3879.1782701292104,6.737188530860095e-05,1.3768547727570464,593.7194694311671,0.4494375347652294
1.55,100,268,2,9,0.7497444973159982,4071.0984351213065,3878.9386893026817,0.00026565816293821804,1.7365114676653384,602.2958166326653,0.45028894173980655
1.0,423,318,0,10,0.7954955999623535,4101.334274044216,3919.569029889193,0.0002704743899822713,1.3681308080567598,591.6242285074209,0.4504394344671537
1.0,100,50,4,10,0.7953021303134379,3712.905952779316,3572.5950722665148,0.00014057593870427966,1.3944517714468943,569.0874322972919,0.44984888016298513
3.0,100,50,2,4,0.82874902669287,2393.7376623972586,2293.8677969157325,0.0,1.2137542711466074,545.4325874965001,0.44844527910575605
1.0,500,229,5,6,0.7921287247481716,2277.996277915634,2189.42345606908,0.0,1.514056210881803,508.16,0.4504093198992443
1.0,377,500,0,5,0.8026693735657137,1795.724189386936,1744.8959433031418,0.0,1.4606243403846222,448.5942130314788,0.4503789782274576
1.0,500,249,0,1,0.8165642227464389,843.6920529801313,825.3402253038911,0.0,1.4118518087523542,377.68,0.4489514933276848
3.0,100,334,0,3,0.9478674880180195,690.7265114001552,684.261454658126,0.0,0.37122716365390124,317.23595536178556,0.45038457481852096
1.59,106,339,3,1,0.8813081628035955,835.6286660921726,829.2437968850882,0.00012392948895422845,0.8937910898274191,322.7641809672387,0.44763907457573865
1.0,500,50,0,10,0.8284420260142862,819.5802784944864,803.335109752522,0.0,1.3183666122774773,401.41530090311346,0.4484852896402202
2.52,100,500,4,1,0.9026104076005284,1527.6690171944929,1482.519894777469,8.402924266053176e-05,0.6786090503113866,476.02475916146585,0.44873948605784225
1.01,163,50,0,9,0.9115233884919394,2187.0793025711637,2102.1951717512875,7.37344420917062e-05,0.564689607369553,542.465622975081,0.4493437805717744
3.0,381,50,0,10,0.9288380233441217,2332.9182751769076,2233.195288661261,0.0,0.4170920277857544,578.0552534101364,0.45083385288461275
2.22,175,344,0,1,0.7649549801546269,2439.899646639872,2279.666577926547,6.67850824229942e-05,1.722907714445925,598.9361478459139,0.450744681987024
2.78,100,50,5,1,0.7572740500526907,3972.245952229141,3790.1589534810737,6.657882324032399e-05,1.6829276117416536,600.7916339346426,0.44860185549729115
3.0,426,500,0,1,0.7734849478913284,4285.748106060608,4099.83754571578,0.0001320829480914014,1.532336729247311,605.6800000000001,0.4506670188878616
1.74,100,345,0,1,0.7850268501509087,3926.8075017095557,3739.3318118362067,0.00013485447345368246,1.4639775127276307,593.2558118324733,0.4496662676781302
